DATE,BOGZ1LM654090000Q
1945-10-01,1245.0
1946-01-01,.
1946-04-01,.
1946-07-01,.
1946-10-01,1298.0
1947-01-01,.
1947-04-01,.
1947-07-01,.
1947-10-01,1413.0
1948-01-01,.
1948-04-01,.
1948-07-01,.
1948-10-01,1516.0
1949-01-01,.
1949-04-01,.
1949-07-01,.
1949-10-01,3071.0
1950-01-01,.
1950-04-01,.
1950-07-01,.
1950-10-01,3344.0
1951-01-01,.
1951-04-01,.
1951-07-01,.
1951-10-01,3482.0
1952-01-01,3612.0
1952-04-01,3696.0
1952-07-01,3837.0
1952-10-01,3932.0
1953-01-01,3867.0
1953-04-01,3778.0
1953-07-01,3753.0
1953-10-01,4146.0
1954-01-01,4512.0
1954-04-01,4895.0
1954-07-01,5469.0
1954-10-01,6110.0
1955-01-01,6525.0
1955-04-01,7186.0
1955-07-01,7257.0
1955-10-01,7839.0
1956-01-01,8555.0
1956-04-01,8613.0
1956-07-01,8506.0
1956-10-01,9046.0
1957-01-01,9106.0
1957-04-01,9687.0
1957-07-01,9001.0
1957-10-01,8714.0
1958-01-01,9463.0
1958-04-01,10610.0
1958-07-01,11791.0
1958-10-01,13242.0
1959-01-01,14132.0
1959-04-01,14973.0
1959-07-01,14747.0
1959-10-01,15818.0
1960-01-01,15312.0
1960-04-01,16097.0
1960-07-01,15640.0
1960-10-01,17026.0
1961-01-01,19440.0
1961-04-01,20003.0
1961-07-01,21007.0
1961-10-01,22875.0
1962-01-01,23048.0
1962-04-01,18436.0
1962-07-01,19088.0
1962-10-01,21271.0
1963-01-01,22549.0
1963-04-01,23693.0
1963-07-01,24496.0
1963-10-01,25215.0
1964-01-01,26881.0
1964-04-01,27682.0
1964-07-01,29131.0
1964-10-01,29116.0
1965-01-01,30465.0
1965-04-01,30037.0
1965-07-01,32825.0
1965-10-01,35220.0
1966-01-01,36173.0
1966-04-01,35429.0
1966-07-01,32224.0
1966-10-01,34829.0
1967-01-01,39280.0
1967-04-01,40429.0
1967-07-01,43249.0
1967-10-01,44308.0
1968-01-01,41949.0
1968-04-01,47493.0
1968-07-01,49914.0
1968-10-01,51232.0
1969-01-01,50339.0
1969-04-01,48052.0
1969-07-01,47940.0
1969-10-01,47588.0
1970-01-01,48369.0
1970-04-01,39201.0
1970-07-01,44172.0
1970-10-01,46812.0
1971-01-01,52687.0
1971-04-01,52961.0
1971-07-01,52214.0
1971-10-01,55446.0
1972-01-01,57548.0
1972-04-01,56656.0
1972-07-01,56209.0
1972-10-01,58926.0
1973-01-01,52843.0
1973-04-01,48013.0
1973-07-01,51927.0
1973-10-01,46635.0
1974-01-01,44521.0
1974-04-01,40662.0
1974-07-01,32320.0
1974-10-01,35152.0
1975-01-01,40968.0
1975-04-01,46061.0
1975-07-01,40876.0
1975-10-01,43034.0
1976-01-01,46920.0
1976-04-01,47003.0
1976-07-01,45799.0
1976-10-01,46510.0
1977-01-01,43037.0
1977-04-01,45901.0
1977-07-01,45617.0
1977-10-01,45491.0
1978-01-01,44493.0
1978-04-01,46687.0
1978-07-01,48619.0
1978-10-01,46050.0
1979-01-01,47697.0
1979-04-01,48943.0
1979-07-01,51166.0
1979-10-01,51789.0
1980-01-01,53772.0
1980-04-01,59434.0
1980-07-01,66091.0
1980-10-01,70395.0
1981-01-01,71227.0
1981-04-01,71535.0
1981-07-01,65157.0
1981-10-01,68834.0
1982-01-01,66089.0
1982-04-01,67525.0
1982-07-01,75941.0
1982-10-01,88353.0
1983-01-01,101710.0
1983-04-01,119852.0
1983-07-01,123236.0
1983-10-01,126973.0
1984-01-01,129465.0
1984-04-01,129412.0
1984-07-01,145397.0
1984-10-01,153337.0
1985-01-01,174257.0
1985-04-01,205015.0
1985-07-01,221441.0
1985-10-01,272965.0
1986-01-01,340693.0
1986-04-01,382490.0
1986-07-01,407139.0
1986-10-01,450367.0
1987-01-01,539434.0
1987-04-01,550400.0
1987-07-01,556224.0
1987-10-01,481466.0
1988-01-01,502572.0
1988-04-01,511551.0
1988-07-01,504894.0
1988-10-01,503097.0
1989-01-01,515301.0
1989-04-01,549881.0
1989-07-01,576895.0
1989-10-01,591345.0
1990-01-01,585636.0
1990-04-01,620236.0
1990-07-01,568041.0
1990-10-01,603053.0
1991-01-01,669138.0
1991-04-01,700414.0
1991-07-01,769566.0
1991-10-01,850744.0
1992-01-01,889980.0
1992-04-01,952243.0
1992-07-01,1019928.0
1992-10-01,1096342.0
1993-01-01,1201180.0
1993-04-01,1302226.0
1993-07-01,1419318.0
1993-10-01,1504644.0
1994-01-01,1495186.0
1994-04-01,1504264.0
1994-07-01,1580774.0
1994-10-01,1544320.0
1995-01-01,1649397.0
1995-04-01,1800550.0
1995-07-01,1954042.0
1995-10-01,2058275.0
1996-01-01,2201626.0
1996-04-01,2351651.0
1996-07-01,2461780.0
1996-10-01,2623994.0
1997-01-01,2686387.0
1997-04-01,3051401.0
1997-07-01,3368362.0
1997-10-01,3409315.0
1998-01-01,3840596.0
1998-04-01,3977323.0
1998-07-01,3622978.0
1998-10-01,4173531.0
1999-01-01,4327921.0
1999-04-01,4651052.0
1999-07-01,4498393.0
1999-10-01,5233194.0
2000-01-01,5600779.0
2000-04-01,5463631.0
2000-07-01,5541139.0
2000-10-01,5119386.0
2001-01-01,4588723.0
2001-04-01,4887912.0
2001-07-01,4252626.0
2001-10-01,4689603.0
2002-01-01,4812247.0
2002-04-01,4433260.0
2002-07-01,3898456.0
2002-10-01,4118082.0
2003-01-01,4057552.0
2003-04-01,4649056.0
2003-07-01,4845657.0
2003-10-01,5362097.0
2004-01-01,5620835.0
2004-04-01,5640075.0
2004-07-01,5663150.0
2004-10-01,6194101.0
2005-01-01,6170973.0
2005-04-01,6352653.0
